Date,Home,Away,Score,Referee
2023-11-11,Kasımpaşa,Kayserispor,3–4,Çağdaş Altay
2023-11-11,Fatih Karagümrük,Sivasspor,3–0,Murat Erdoğan
2023-11-11,Alanyaspor,Gaziantep FK,0–3,Turgut Doman
2023-11-11,Hatayspor,Galatasaray,2–1,Bahattin Şimşek
2023-11-12,Pendikspor,Samsunspor,1–0,Burak Pakkan
2023-11-12,Beşiktaş,Başakşehir,1–0,Arda Kardeşler
2023-11-12,Rizespor,İstanbulspor,1–0,Sarper Barış Saka
2023-11-12,Adana Demirspor,Fenerbahçe,0–0,Halil Umut Meler
2023-11-25,İstanbulspor,Hatayspor,2–1,Tugay Kaan Numanoğlu
2023-11-25,Konyaspor,Kasımpaşa,2–0,Direnç Tonusluoğlu
2023-11-25,Gaziantep FK,Ankaragücü,0–1,Umit Öztürk
2023-11-25,Galatasaray,Alanyaspor,4–0,Ali Şansalan
2023-11-26,Kayserispor,Adana Demirspor,1–1,Kadir Sağlam
2023-11-26,Samsunspor,Beşiktaş,1–2,Abdulkadir Bitigen
2023-11-26,Antalyaspor,Rizespor,0–0,Turgut Doman
2023-11-26,Fenerbahçe,Fatih Karagümrük,2–1,Arda Kardeşler
2023-11-27,Sivasspor,Trabzonspor,3–3,Volkan Bayarslan
2023-11-27,Başakşehir,Pendikspor,4–1,Cihan Aydın
2023-12-01,Fatih Karagümrük,İstanbulspor,3–0,Kadir Sağlam
2023-12-01,Hatayspor,Antalyaspor,3–3,Yiğit Arslan
2023-12-02,Alanyaspor,Konyaspor,2–2,Burak Pakkan
2023-12-02,Rizespor,Başakşehir,3–2,Mert Güzenge
2023-12-02,Pendikspor,Galatasaray,0–2,Volkan Bayarslan
2023-12-02,Adana Demirspor,Samsunspor,2–3,Sarper Barış Saka
2023-12-03,Kasımpaşa,Gaziantep FK,4–2,Burak Şeker
2023-12-03,Trabzonspor,Kayserispor,0–1,Umit Öztürk
2023-12-03,Ankaragücü,Beşiktaş,1–1,Zorbay Küçük
2023-12-04,Fenerbahçe,Sivasspor,4–1,Bahattin Şimşek
2023-12-08,Galatasaray,Adana Demirspor,3–1,Abdulkadir Bitigen
2023-12-09,Antalyaspor,Fatih Karagümrük,2–1,Çağdaş Altay
2023-12-09,Samsunspor,Kasımpaşa,4–2,Zorbay Küçük
2023-12-09,Beşiktaş,Fenerbahçe,1–3,Atilla Karaoğlan
2023-12-10,İstanbulspor,Alanyaspor,0–1,Cihan Aydın
2023-12-10,Başakşehir,Hatayspor,1–0,Burak Şeker
2023-12-10,Kayserispor,Pendikspor,2–0,Turgut Doman
2023-12-10,Gaziantep FK,Trabzonspor,1–3,Arda Kardeşler
2023-12-11,Ankaragücü,Rizespor,1–1,Halil Umut Meler
2023-12-11,Konyaspor,Sivasspor,0–1,Tugay Kaan Numanoğlu
2023-12-19,Başakşehir,Sivasspor,3–1,Mete Kalkavan
2023-12-19,Gaziantep FK,Adana Demirspor,2–2,Bahattin Şimşek
2023-12-19,İstanbulspor,Trabzonspor,0–3,Ali Şansalan
2023-12-20,Kayserispor,Fenerbahçe,3–4,Zorbay Küçük
2023-12-20,Galatasaray,Fatih Karagümrük,1–0,Tugay Kaan Numanoğlu
2023-12-20,Antalyaspor,Kasımpaşa,0–0,Kadir Sağlam
2023-12-21,Samsunspor,Konyaspor,1–1,Murat Erdoğan
2023-12-21,Rizespor,Pendikspor,5–1,Direnç Tonusluoğlu
2023-12-21,Ankaragücü,Hatayspor,0–0,Abdulkadir Bitigen
2023-12-21,Beşiktaş,Alanyaspor,1–3,Umit Öztürk
2023-12-23,Sivasspor,İstanbulspor,1–0,Mert Güzenge
2023-12-23,Fatih Karagümrük,Gaziantep FK,0–3,Ali Şansalan
2023-12-23,Trabzonspor,Başakşehir,1–1,Volkan Bayarslan
2023-12-24,Konyaspor,Kayserispor,2–0,Bahattin Şimşek
2023-12-24,Adana Demirspor,Antalyaspor,2–1,Burak Pakkan
2023-12-24,Fenerbahçe,Galatasaray,0–0,Arda Kardeşler
2023-12-25,Alanyaspor,Samsunspor,3–1,Tugay Kaan Numanoğlu
2023-12-25,Kasımpaşa,Rizespor,2–2,Turgut Doman
2023-12-25,Pendikspor,Ankaragücü,1–1,Umit Öztürk
2023-12-25,Hatayspor,Beşiktaş,1–2,Kadir Sağlam
2024-01-05,Gaziantep FK,Pendikspor,2–2,Çağdaş Altay
2024-01-05,Beşiktaş,Kasımpaşa,1–3,Arda Kardeşler
2024-01-05,Antalyaspor,Alanyaspor,0–0,Mert Güzenge
2024-01-06,Rizespor,Hatayspor,2–0,Cihan Aydın
2024-01-06,Başakşehir,Adana Demirspor,0–0,Turgut Doman
2024-01-06,Ankaragücü,Trabzonspor,0–1,Burak Şeker
2024-01-06,Samsunspor,Fatih Karagümrük,1–0,Emre Kargın
2024-01-07,Kayserispor,Sivasspor,1–3,Alper Akarsu
2024-01-07,İstanbulspor,Fenerbahçe,1–5,Volkan Bayarslan
2024-01-07,Galatasaray,Konyaspor,3–0,Ali Şansalan
2024-01-09,Pendikspor,Antalyaspor,0–1,Oğuzhan Çakir
2024-01-09,Alanyaspor,Ankaragücü,1–1,Direnç Tonusluoğlu
2024-01-09,Kasımpaşa,Başakşehir,0–3,Burak Pakkan
2024-01-09,Rizespor,Beşiktaş,0–4,Abdulkadir Bitigen
2024-01-10,Fatih Karagümrük,Kayserispor,4–1,Burak Şeker
2024-01-10,Hatayspor,Gaziantep FK,0–0,Umit Öztürk
2024-01-10,Adana Demirspor,İstanbulspor,2–2,Murat Erdoğan
2024-01-10,Fenerbahçe,Konyaspor,7–1,Kadir Sağlam
2024-01-11,Sivasspor,Galatasaray,1–1,Zorbay Küçük
2024-01-11,Trabzonspor,Samsunspor,2–1,Cihan Aydın
2024-01-13,Hatayspor,Pendikspor,1–1,Muhammetali Metoğlu
2024-01-13,Ankaragücü,Kasımpaşa,3–1,Ömer Faruk Turtay
2024-01-13,Başakşehir,Alanyaspor,3–2,Arda Kardeşler
2024-01-13,Beşiktaş,Fatih Karagümrük,3–0,Mert Güzenge
2024-01-13,Rizespor,Adana Demirspor,1–0,Volkan Bayarslan
2024-01-14,İstanbulspor,Konyaspor,0–0,Halil Umut Meler
2024-01-14,Samsunspor,Sivasspor,2–0,Burak Şeker
2024-01-14,Antalyaspor,Trabzonspor,1–1,Bahattin Şimşek
2024-01-14,Gaziantep FK,Fenerbahçe,0–1,Tugay Kaan Numanoğlu
2024-01-15,Galatasaray,Kayserispor,2–1,Atilla Karaoğlan
2024-01-20,Kasımpaşa,Hatayspor,3–0,Abdullah Taşkınsoy
2024-01-20,Alanyaspor,Rizespor,2–1,Ali Şansalan
2024-01-20,Fatih Karagümrük,Başakşehir,1–1,Umit Öztürk
2024-01-20,Adana Demirspor,Ankaragücü,1–1,Arda Kardeşler
2024-01-20,Pendikspor,Beşiktaş,4–0,Tugay Kaan Numanoğlu
2024-01-21,Sivasspor,Gaziantep FK,2–2,Kadir Sağlam
2024-01-21,Fenerbahçe,Samsunspor,1–1,Bahattin Şimşek
2024-01-21,Konyaspor,Antalyaspor,1–1,Zorbay Küçük
2024-01-21,Trabzonspor,Galatasaray,1–5,Abdulkadir Bitigen
2024-01-22,Kayserispor,İstanbulspor,0–1,Cihan Aydın
2024-01-23,Hatayspor,Alanyaspor,1–1,Emre Kargın
2024-01-23,Beşiktaş,Adana Demirspor,0–0,Atilla Karaoğlan
2024-01-23,Pendikspor,Kasımpaşa,3–2,Burak Şeker
2024-01-24,Gaziantep FK,Konyaspor,1–1,Volkan Bayarslan
2024-01-24,Ankaragücü,Fatih Karagümrük,2–0,Muhammetali Metoğlu
2024-01-24,Başakşehir,Fenerbahçe,0–1,Abdulkadir Bitigen
2024-01-24,Antalyaspor,Sivasspor,2–1,Turgut Doman
2024-01-25,Samsunspor,Kayserispor,2–0,Çağdaş Altay
2024-01-25,Rizespor,Trabzonspor,1–0,Umit Öztürk
2024-01-25,Galatasaray,İstanbulspor,3–1,Bahattin Şimşek
2024-01-27,Alanyaspor,Pendikspor,1–1,Volkan Bayarslan
2024-01-27,Adana Demirspor,Hatayspor,0–1,Mert Güzenge
2024-01-28,Konyaspor,Başakşehir,2–3,Alper Akarsu
2024-01-28,Fatih Karagümrük,Rizespor,4–0,Turgut Doman
2024-01-28,Sivasspor,Beşiktaş,1–0,Ali Şansalan
2024-01-28,Fenerbahçe,Ankaragücü,2–1,Cihan Aydın
2024-01-29,İstanbulspor,Samsunspor,1–1,Ömer Faruk Turtay
2024-01-29,Kayserispor,Antalyaspor,1–1,Direnç Tonusluoğlu
2024-01-29,Galatasaray,Gaziantep FK,2–1,Arda Kardeşler
2024-01-29,Trabzonspor,Kasımpaşa,2–3,Tugay Kaan Numanoğlu
2024-02-02,Hatayspor,Fatih Karagümrük,3–1,Ömer Faruk Turtay
2024-02-02,Ankaragücü,Sivasspor,0–0,Abdulkadir Bitigen
2024-02-02,Samsunspor,Galatasaray,0–2,Tugay Kaan Numanoğlu
2024-02-03,Rizespor,Konyaspor,0–0,Cihan Aydın
2024-02-03,Başakşehir,İstanbulspor,2–0,Emre Kargın
2024-02-03,Gaziantep FK,Kayserispor,1–1,Murat Erdoğan
2024-02-03,Antalyaspor,Fenerbahçe,0–2,Volkan Bayarslan
2024-02-04,Pendikspor,Adana Demirspor,2–1,Direnç Tonusluoğlu
2024-02-04,Kasımpaşa,Alanyaspor,2–1,Oğuzhan Çakir
2024-02-04,Beşiktaş,Trabzonspor,2–0,Arda Kardeşler
2024-02-09,Adana Demirspor,Kasımpaşa,1–3,Burak Pakkan
2024-02-10,Fatih Karagümrük,Pendikspor,2–0,Zorbay Küçük
2024-02-10,Galatasaray,Başakşehir,2–0,Cihan Aydın
2024-02-11,Sivasspor,Rizespor,1–0,Emre Kargın
2024-02-11,Konyaspor,Ankaragücü,1–0,Direnç Tonusluoğlu
2024-02-11,İstanbulspor,Gaziantep FK,1–3,Abdulkadir Bitigen
2024-02-11,Fenerbahçe,Alanyaspor,2–2,Çağdaş Altay
2024-02-12,Trabzonspor,Hatayspor,2–0,Ali Şansalan
2024-02-12,Samsunspor,Antalyaspor,2–0,Atilla Karaoğlan
2024-02-12,Kayserispor,Beşiktaş,0–0,Kadir Sağlam
2024-02-16,Kasımpaşa,Fatih Karagümrük,1–1,Kadir Sağlam
2024-02-17,Antalyaspor,İstanbulspor,2–2,Mehmet Türkmen
2024-02-17,Hatayspor,Sivasspor,1–1,Umit Öztürk
2024-02-17,Rizespor,Fenerbahçe,1–3,Arda Kardeşler
2024-02-18,Alanyaspor,Adana Demirspor,3–3,Bahattin Şimşek
2024-02-18,Pendikspor,Trabzonspor,0–2,Halil Umut Meler
2024-02-18,Gaziantep FK,Samsunspor,1–1,Zorbay Küçük
2024-02-18,Ankaragücü,Galatasaray,0–3,Ali Şansalan
2024-02-19,Başakşehir,Kayserispor,2–3,Oğuzhan Çakir
2024-02-19,Beşiktaş,Konyaspor,2–0,Tugay Kaan Numanoğlu
2024-02-23,Samsunspor,Rizespor,3–0,Murat Erdoğan
2024-02-24,Kayserispor,Ankaragücü,3–2,Turgut Doman
2024-02-24,Gaziantep FK,Başakşehir,0–2,Ali Şansalan
2024-02-24,Konyaspor,Hatayspor,2–0,Zorbay Küçük
2024-02-24,Fenerbahçe,Kasımpaşa,2–1,Cihan Aydın
2024-02-25,Sivasspor,Pendikspor,4–1,Burak Pakkan
2024-02-25,Fatih Karagümrük,Alanyaspor,1–1,Tugay Kaan Numanoğlu
2024-02-25,Trabzonspor,Adana Demirspor,1–0,Burak Şeker
2024-02-25,İstanbulspor,Beşiktaş,0–2,Atilla Karaoğlan
2024-02-26,Galatasaray,Antalyaspor,2–1,Abdulkadir Bitigen
2024-03-01,Kasımpaşa,Sivasspor,0–0,Burak Şeker
2024-03-02,Ankaragücü,İstanbulspor,1–1,Muhammetali Metoğlu
2024-03-02,Rizespor,Kayserispor,3–0,Burak Pakkan
2024-03-02,Hatayspor,Fenerbahçe,0–2,Atilla Karaoğlan
2024-03-03,Başakşehir,Samsunspor,1–0,Abdullah Taşkınsoy
2024-03-03,Pendikspor,Konyaspor,0–2,Umit Öztürk
2024-03-03,Beşiktaş,Galatasaray,0–1,Halil Umut Meler
2024-03-04,Adana Demirspor,Fatih Karagümrük,1–0,Murat Erdoğan
2024-03-04,Antalyaspor,Gaziantep FK,1–0,Direnç Tonusluoğlu
2024-03-04,Alanyaspor,Trabzonspor,3–1,Volkan Bayarslan
2024-03-08,Galatasaray,Rizespor,6–2,Bahattin Şimşek
2024-03-09,Sivasspor,Alanyaspor,1–2,Ali Şansalan
2024-03-09,Konyaspor,Adana Demirspor,2–2,Volkan Bayarslan
2024-03-09,Trabzonspor,Fatih Karagümrük,5–1,Zorbay Küçük
2024-03-09,Başakşehir,Antalyaspor,1–0,Mert Güzenge
2024-03-10,Kayserispor,Hatayspor,1–1,Halil Umut Meler
2024-03-10,İstanbulspor,Kasımpaşa,1–2,Çağdaş Altay
2024-03-10,Samsunspor,Ankaragücü,2–1,Umit Öztürk
2024-03-10,Fenerbahçe,Pendikspor,4–1,Kadir Sağlam
2024-03-11,Gaziantep FK,Beşiktaş,2–0,Arda Kardeşler
2024-03-15,Fatih Karagümrük,Konyaspor,1–1,Bahattin Şimşek
2024-03-15,Pendikspor,İstanbulspor,1–0,Oğuzhan Çakir
2024-03-16,Alanyaspor,Kayserispor,1–0,Emre Kargın
2024-03-16,Ankaragücü,Başakşehir,2–1,Cihan Aydın
2024-03-16,Beşiktaş,Antalyaspor,1–2,Burak Pakkan
2024-03-16,Adana Demirspor,Sivasspor,4–1,Tugay Kaan Numanoğlu
2024-03-17,Rizespor,Gaziantep FK,3–1,Abdulkadir Bitigen
2024-03-17,Kasımpaşa,Galatasaray,3–4,Atilla Karaoğlan
2024-03-17,Hatayspor,Samsunspor,3–0,Burak Şeker
2024-03-17,Trabzonspor,Fenerbahçe,2–3,Halil Umut Meler
2024-04-02,İstanbulspor,Rizespor,0–4,Alper Akarsu
2024-04-02,Gaziantep FK,Alanyaspor,0–3,Umit Öztürk
2024-04-02,Antalyaspor,Ankaragücü,1–1,Çağdaş Altay
2024-04-02,Galatasaray,Hatayspor,1–0,Ali Şansalan
2024-04-03,Sivasspor,Fatih Karagümrük,1–0,Turgut Doman
2024-04-03,Fenerbahçe,Adana Demirspor,4–2,Arda Kardeşler
2024-04-03,Kayserispor,Kasımpaşa,0–2,Ömer Faruk Turtay
2024-04-03,Konyaspor,Trabzonspor,1–3,Atilla Karaoğlan
2024-04-04,Başakşehir,Beşiktaş,1–1,Zorbay Küçük
2024-04-04,Samsunspor,Pendikspor,0–0,Bahattin Şimşek
2024-04-12,Trabzonspor,Sivasspor,0–1,Umit Öztürk
2024-04-13,Kasımpaşa,Konyaspor,0–2,Zorbay Küçük
2024-04-13,Ankaragücü,Gaziantep FK,3–1,Ali Şansalan
2024-04-13,Adana Demirspor,Kayserispor,0–0,Mehmet Türkmen
2024-04-13,Beşiktaş,Samsunspor,1–1,Direnç Tonusluoğlu
2024-04-14,Pendikspor,Başakşehir,2–3,Halil Umut Meler
2024-04-14,Hatayspor,İstanbulspor,0–3,Mert Güzenge
2024-04-14,Rizespor,Antalyaspor,3–0,Emre Kargın
2024-04-14,Fatih Karagümrük,Fenerbahçe,1–2,Tugay Kaan Numanoğlu
2024-04-15,Alanyaspor,Galatasaray,0–4,Cihan Aydın
2024-04-19,Beşiktaş,Ankaragücü,2–0,Bahattin Şimşek
2024-04-20,İstanbulspor,Fatih Karagümrük,1–2,Burak Şeker
2024-04-20,Konyaspor,Alanyaspor,0–2,Oğuzhan Çakir
2024-04-20,Samsunspor,Adana Demirspor,1–1,Murat Erdoğan
2024-04-20,Kayserispor,Trabzonspor,1–2,Çağdaş Altay
2024-04-21,Başakşehir,Rizespor,2–0,Arda Kardeşler
2024-04-21,Galatasaray,Pendikspor,4–1,Direnç Tonusluoğlu
2024-04-21,Gaziantep FK,Kasımpaşa,2–0,Kadir Sağlam
2024-04-21,Antalyaspor,Hatayspor,2–1,Abdulkadir Bitigen
2024-04-22,Sivasspor,Fenerbahçe,2–2,Cihan Aydın
2024-04-26,Adana Demirspor,Galatasaray,0–3,Bahattin Şimşek
2024-04-27,Sivasspor,Konyaspor,1–0,Murat Erdoğan
2024-04-27,Kasımpaşa,Samsunspor,1–0,Halil Umut Meler
2024-04-27,Hatayspor,Başakşehir,1–2,Atilla Karaoğlan
2024-04-27,Fenerbahçe,Beşiktaş,2–1,Volkan Bayarslan
2024-04-28,Alanyaspor,İstanbulspor,6–0,Muhammetali Metoğlu
2024-04-28,Pendikspor,Kayserispor,1–2,Zorbay Küçük
2024-04-28,Trabzonspor,Gaziantep FK,4–2,Direnç Tonusluoğlu
2024-04-28,Rizespor,Ankaragücü,2–2,Turgut Doman
2024-04-29,Fatih Karagümrük,Antalyaspor,4–1,Kadir Sağlam
2024-05-03,Beşiktaş,Rizespor,3–2,Ali Şansalan
2024-05-03,Ankaragücü,Alanyaspor,1–1,Emre Kargın
2024-05-04,İstanbulspor,Adana Demirspor,0–1,Abdullah Taşkınsoy
2024-05-04,Kayserispor,Fatih Karagümrük,2–2,Atilla Karaoğlan
2024-05-04,Samsunspor,Trabzonspor,3–1,Abdulkadir Bitigen
2024-05-05,Başakşehir,Kasımpaşa,4–1,Mert Güzenge
2024-05-05,Galatasaray,Sivasspor,6–1,Arda Kardeşler
2024-05-05,Gaziantep FK,Hatayspor,1–1,Halil Umut Meler
2024-05-06,Antalyaspor,Pendikspor,1–2,Tugay Kaan Numanoğlu
2024-05-06,Konyaspor,Fenerbahçe,0–0,Bahattin Şimşek
2024-05-12,Alanyaspor,Beşiktaş,1–1,Tugay Kaan Numanoğlu
2024-05-12,Trabzonspor,İstanbulspor,3–0,Emre Kargın
2024-05-12,Konyaspor,Samsunspor,3–0,Kadir Sağlam
2024-05-12,Fenerbahçe,Kayserispor,3–0,Direnç Tonusluoğlu
2024-05-12,Pendikspor,Rizespor,2–1,Atilla Karaoğlan
2024-05-12,Kasımpaşa,Antalyaspor,3–1,Oğuzhan Çakir
2024-05-12,Hatayspor,Ankaragücü,2–1,Ali Şansalan
2024-05-12,Sivasspor,Başakşehir,0–1,Bahattin Şimşek
2024-05-12,Fatih Karagümrük,Galatasaray,2–3,Volkan Bayarslan
2024-05-12,Adana Demirspor,Gaziantep FK,1–6,Abdulkadir Bitigen
2024-05-17,İstanbulspor,Sivasspor,1–3,Ömer Faruk Turtay
2024-05-17,Antalyaspor,Adana Demirspor,2–1,Turgut Doman
2024-05-18,Beşiktaş,Hatayspor,2–2,Cihan Aydın
2024-05-18,Kayserispor,Konyaspor,2–2,Halil Umut Meler
2024-05-18,Ankaragücü,Pendikspor,0–0,Volkan Bayarslan
2024-05-18,Samsunspor,Alanyaspor,1–1,Mert Güzenge
2024-05-18,Gaziantep FK,Fatih Karagümrük,3–1,Zorbay Küçük
2024-05-18,Rizespor,Kasımpaşa,0–0,Burak Pakkan
2024-05-18,Başakşehir,Trabzonspor,0–1,Tugay Kaan Numanoğlu
2024-05-19,Galatasaray,Fenerbahçe,0–1,Arda Kardeşler
2024-05-24,Alanyaspor,Antalyaspor,1–1,Halil Umut Meler
2024-05-25,Fatih Karagümrük,Samsunspor,3–1,Mehmet Türkmen
2024-05-25,Sivasspor,Kayserispor,2–1,Murat Erdoğan
2024-05-26,Hatayspor,Rizespor,2–0,Abdulkadir Bitigen
